time,altitude,x_position,velocity_x,velocity_y,theta_radians,theta_measured_radians,angular_velocity,angular_acceleration,current_mass,current_moi,current_moment_arm,current_stage,engine_thrust,is_burning,drag_force_y,gimbal_actual_deg,dt
0.0000,0.0000,0.0000,0.0000,0.0000,0.2618,0.2612,0.0000,0.0000,0.9590,0.0739,0.2040,1.0000,0.0000,0.0000,0.0000,0.0000,0.0100
0.0100,0.0000,0.0000,0.0000,0.0000,0.2618,0.2619,0.0000,0.0000,0.9590,0.0739,0.2040,1.0000,0.0000,1.0000,0.0000,0.0000,0.0100
0.0200,0.0000,-0.0000,-0.0014,0.0000,0.2618,0.2621,0.0000,0.0000,0.9588,0.0739,0.2040,1.0000,0.5153,1.0000,0.0000,0.0000,0.0100
0.0300,0.0000,-0.0001,-0.0042,0.0000,0.2618,0.2626,0.0000,0.0000,0.9587,0.0739,0.2041,1.0000,1.0276,1.0000,0.0000,0.0000,0.0100
0.0400,0.0000,-0.0001,-0.0083,0.0000,0.2618,0.2653,0.0000,0.0000,0.9585,0.0739,0.2041,1.0000,1.5378,1.0000,0.0000,0.0000,0.0100
0.0500,0.0000,-0.0003,-0.0156,0.0000,0.2618,0.2608,-0.0049,-0.4929,0.9583,0.0739,0.2041,1.0000,2.0464,1.0000,0.0000,-5.0000,0.0100
0.0600,0.0000,-0.0005,-0.0247,0.0000,0.2616,0.2627,-0.0111,-0.6154,0.9581,0.0739,0.2042,1.0000,2.5542,1.0000,0.0000,-5.0000,0.0100
0.0700,0.0000,-0.0009,-0.0357,0.0000,0.2615,0.2621,-0.0185,-0.7379,0.9580,0.0739,0.2042,1.0000,3.0619,1.0000,0.0000,-5.0000,0.0100
0.0800,0.0000,-0.0014,-0.0484,0.0000,0.2612,0.2609,-0.0271,-0.8607,0.9578,0.0738,0.2043,1.0000,3.5702,1.0000,0.0000,-5.0000,0.0100
0.0900,0.0000,-0.0020,-0.0629,0.0000,0.2608,0.2605,-0.0369,-0.9838,0.9576,0.0738,0.2043,1.0000,4.0800,1.0000,0.0000,-5.0000,0.0100
0.1000,0.0000,-0.0028,-0.0793,0.0000,0.2603,0.2626,-0.0480,-1.1075,0.9574,0.0738,0.2043,1.0000,4.5918,1.0000,0.0000,-5.0000,0.0100
0.1100,0.0000,-0.0038,-0.0975,0.0000,0.2597,0.2555,-0.0603,-1.2320,0.9573,0.0738,0.2044,1.0000,5.1064,1.0000,0.0000,-5.0000,0.0100
0.1200,0.0000,-0.0050,-0.1175,0.0000,0.2590,0.2611,-0.0739,-1.3574,0.9571,0.0738,0.2044,1.0000,5.6245,1.0000,0.0000,-5.0000,0.0100
0.1300,0.0000,-0.0063,-0.1393,0.0000,0.2581,0.2582,-0.0887,-1.4839,0.9569,0.0738,0.2044,1.0000,6.1468,1.0000,0.0000,-5.0000,0.0100
0.1400,0.0000,-0.0080,-0.1629,0.0000,0.2571,0.2599,-0.1048,-1.6116,0.9567,0.0738,0.2045,1.0000,6.6741,1.0000,0.0000,-5.0000,0.0100
0.1500,0.0000,-0.0099,-0.1883,0.0000,0.2558,0.2563,-0.1222,-1.7408,0.9566,0.0738,0.2045,1.0000,7.2071,1.0000,0.0000,-5.0000,0.0100
0.1600,0.0000,-0.0120,-0.2156,0.0000,0.2544,0.2548,-0.1410,-1.8716,0.9564,0.0738,0.2046,1.0000,7.7464,1.0000,0.0000,-5.0000,0.0100
0.1700,0.0000,-0.0145,-0.2446,0.0000,0.2528,0.2524,-0.1610,-2.0042,0.9562,0.0738,0.2046,1.0000,8.2929,1.0000,0.0000,-5.0000,0.0100
0.1800,0.0000,-0.0172,-0.2755,0.0000,0.2510,0.2481,-0.1824,-2.1387,0.9560,0.0738,0.2046,1.0000,8.8471,1.0000,0.0000,-5.0000,0.0100
0.1900,0.0000,-0.0203,-0.3082,0.0000,0.2489,0.2472,-0.2051,-2.2754,0.9559,0.0738,0.2047,1.0000,9.4099,1.0000,0.0000,-5.0000,0.0100
0.2000,0.0000,-0.0237,-0.3426,0.0012,0.2466,0.2482,-0.2293,-2.4144,0.9557,0.0738,0.2047,1.0000,9.9820,1.0000,0.0000,-5.0000,0.0100
0.2100,0.0001,-0.0275,-0.3788,0.0083,0.2441,0.2432,-0.2548,-2.5559,0.9555,0.0738,0.2047,1.0000,10.5641,1.0000,0.0000,-5.0000,0.0100
0.2200,0.0003,-0.0317,-0.4168,0.0217,0.2413,0.2404,-0.2818,-2.7001,0.9553,0.0737,0.2048,1.0000,11.1568,1.0000,0.0000,-5.0000,0.0100
0.2300,0.0007,-0.0362,-0.4565,0.0413,0.2382,0.2370,-0.3103,-2.8471,0.9552,0.0737,0.2048,1.0000,11.7610,1.0000,0.0000,-5.0000,0.0100
0.2400,0.0014,-0.0412,-0.4978,0.0674,0.2348,0.2336,-0.3403,-2.9971,0.9550,0.0737,0.2049,1.0000,12.3773,1.0000,0.0000,-5.0000,0.0100
0.2500,0.0024,-0.0466,-0.5407,0.1003,0.2311,0.2305,-0.3718,-3.1500,0.9548,0.0737,0.2049,1.0000,13.0048,1.0000,0.0000,-5.0000,0.0100
0.2600,0.0038,-0.0525,-0.5850,0.1399,0.2270,0.2238,-0.4048,-3.3046,0.9547,0.0737,0.2049,1.0000,13.6393,1.0000,0.0000,-5.0000,0.0100
0.2700,0.0057,-0.0588,-0.6307,0.1864,0.2226,0.2235,-0.4394,-3.4598,0.9545,0.0737,0.2050,1.0000,14.2759,1.0000,0.0000,-5.0000,0.0100
0.2800,0.0081,-0.0656,-0.6775,0.2399,0.2179,0.2207,-0.4756,-3.6144,0.9543,0.0737,0.2050,1.0000,14.9097,1.0000,0.0000,-5.0000,0.0100
0.2900,0.0111,-0.0728,-0.7252,0.3004,0.2127,0.2139,-0.5132,-3.7673,0.9541,0.0737,0.2050,1.0000,15.5360,1.0000,0.0000,-5.0000,0.0100
0.3000,0.0147,-0.0806,-0.7737,0.3677,0.2072,0.2055,-0.5524,-3.9173,0.9540,0.0737,0.2051,1.0000,16.1500,1.0000,0.0000,-5.0000,0.0100
0.3100,0.0192,-0.0888,-0.8226,0.4419,0.2013,0.2017,-0.5930,-4.0634,0.9538,0.0737,0.2051,1.0000,16.7476,1.0000,0.0000,-5.0000,0.0100
0.3200,0.0244,-0.0975,-0.8717,0.5230,0.1949,0.1974,-0.6351,-4.2076,0.9536,0.0737,0.2052,1.0000,17.3371,1.0000,0.0000,-5.0000,0.0100
0.3300,0.0305,-0.1067,-0.9208,0.6111,0.1881,0.1873,-0.6787,-4.3543,0.9534,0.0737,0.2052,1.0000,17.9364,1.0000,0.0000,-5.0000,0.0100
0.3400,0.0376,-0.1164,-0.9695,0.7067,0.1809,0.1805,-0.7237,-4.5078,0.9533,0.0737,0.2052,1.0000,18.5636,1.0000,0.0000,-5.0000,0.0100
0.3500,0.0457,-0.1266,-1.0179,0.8102,0.1732,0.1750,-0.7705,-4.6726,0.9531,0.0737,0.2053,1.0000,19.2367,1.0000,0.0000,-5.0000,0.0100
0.3600,0.0549,-0.1372,-1.0656,0.9224,0.1650,0.1636,-0.8190,-4.8530,0.9529,0.0736,0.2053,1.0000,19.9737,1.0000,0.0000,-5.0000,0.0100
0.3700,0.0653,-0.1484,-1.1124,1.0443,0.1563,0.1583,-0.8695,-5.0526,0.9527,0.0736,0.2053,1.0000,20.7897,1.0000,0.0000,-5.0000,0.0100
0.3800,0.0771,-0.1599,-1.1582,1.1765,0.1471,0.1443,-0.9222,-5.2677,0.9526,0.0736,0.2054,1.0000,21.6683,1.0000,0.0000,-5.0000,0.0100
0.3900,0.0903,-0.1720,-1.2023,1.3196,0.1373,0.1377,-0.9771,-5.4895,0.9524,0.0736,0.2054,1.0000,22.5745,1.0000,0.0000,-5.0000,0.0100
0.4000,0.1050,-0.1844,-1.2442,1.4734,0.1270,0.1261,-1.0342,-5.7086,0.9522,0.0736,0.2055,1.0000,23.4687,1.0000,0.0000,-5.0000,0.0100
0.4100,0.1214,-0.1972,-1.2831,1.6372,0.1160,0.1173,-1.0933,-5.9069,0.9520,0.0736,0.2055,1.0000,24.2772,1.0000,0.0000,-5.0000,0.0100
0.4200,0.1395,-0.2104,-1.3157,1.8097,0.1046,0.1024,-1.1478,-5.4580,0.9519,0.0736,0.2055,1.0000,24.9115,1.0000,0.0000,-4.5000,0.0100
0.4300,0.1594,-0.2238,-1.3455,1.9872,0.0925,0.0911,-1.2094,-6.1550,0.9517,0.0736,0.2056,1.0000,25.2828,1.0000,0.0000,-5.0000,0.0100
0.4400,0.1811,-0.2374,-1.3506,2.1698,0.0802,0.0813,-1.2217,-1.2355,0.9515,0.0736,0.2056,1.0000,25.3367,1.0000,0.0000,-1.0000,0.0100
0.4500,0.2046,-0.2510,-1.3680,2.3482,0.0674,0.0694,-1.2829,-6.1191,0.9513,0.0736,0.2056,1.0000,25.1209,1.0000,0.0000,-5.0000,0.0100
0.4600,0.2298,-0.2647,-1.3620,2.5259,0.0544,0.0553,-1.3010,-1.8077,0.9512,0.0736,0.2057,1.0000,24.7017,1.0000,0.0000,-1.5000,0.0100
0.4700,0.2568,-0.2782,-1.3538,2.6977,0.0411,0.0398,-1.3305,-2.9452,0.9510,0.0736,0.2057,1.0000,24.1456,1.0000,0.0000,-2.5000,0.0100
0.4800,0.2854,-0.2914,-1.3172,2.8645,0.0281,0.0321,-1.3018,2.8696,0.9508,0.0736,0.2058,1.0000,23.5190,1.0000,0.0000,2.5000,0.0100
0.4900,0.3157,-0.3042,-1.2803,3.0238,0.0152,0.0162,-1.2850,1.6764,0.9507,0.0735,0.2058,1.0000,22.8881,1.0000,0.0000,1.5000,0.0100
0.5000,0.3474,-0.3166,-1.2428,3.1762,0.0024,0.0032,-1.2796,0.5446,0.9505,0.0735,0.2058,1.0000,22.2977,1.0000,0.0000,0.5000,0.0100
0.5100,0.3807,-0.3285,-1.1906,3.3221,-0.0100,-0.0087,-1.2477,3.1878,0.9503,0.0735,0.2059,1.0000,21.7569,1.0000,0.0000,3.0000,0.0100
0.5200,0.4153,-0.3398,-1.1293,3.4613,-0.0220,-0.0238,-1.2009,4.6735,0.9501,0.0735,0.2059,1.0000,21.2708,1.0000,0.0000,4.5000,0.0100
0.5300,0.4512,-0.3504,-1.0656,3.5945,-0.0336,-0.0320,-1.1551,4.5813,0.9500,0.0735,0.2059,1.0000,20.8450,1.0000,0.0000,4.5000,0.0100
0.5400,0.4884,-0.3605,-1.0055,3.7229,-0.0448,-0.0429,-1.1251,3.0036,0.9498,0.0735,0.2060,1.0000,20.4823,1.0000,0.0000,3.0000,0.0100
0.5500,0.5269,-0.3699,-0.9375,3.8463,-0.0557,-0.0560,-1.0807,4.4366,0.9496,0.0735,0.2060,1.0000,20.1755,1.0000,0.0000,4.5000,0.0100
0.5600,0.5666,-0.3786,-0.8678,3.9656,-0.0660,-0.0653,-1.0369,4.3806,0.9494,0.0735,0.2061,1.0000,19.9151,1.0000,0.0000,4.5000,0.0100
0.5700,0.6074,-0.3865,-0.7968,4.0811,-0.0760,-0.0754,-0.9936,4.3326,0.9493,0.0735,0.2061,1.0000,19.6914,1.0000,0.0000,4.5000,0.0100
0.5800,0.6493,-0.3938,-0.7246,4.1932,-0.0855,-0.0882,-0.9507,4.2906,0.9491,0.0735,0.2061,1.0000,19.4948,1.0000,0.0000,4.5000,0.0100
